month_date,account_id,account_name,customer_id,customer_name,brand_name,impressions,clicks,platform_spend,actual_spend,ctr,cpm,cpc,in_app_total_payment,payment_24h,revenue_24h,roi_24h,mixed_revenue_24h,mixed_roi_24h,plays,play_cost,play_rate
2026-07-01,MJ-0086,漫剧品牌D-账号-0086,CUST-001,客户主体A,漫剧品牌D,31522,638,213.46321,213.37,0.020239832497937947,6.771880274094284,0.33458183385579937,0.0,0.0,210.14,0.9844319309168076,210.14,0.9844319309168076,4401,20.617135852121777,0.1396167755853055
2026-07-01,MJ-0121,漫剧品牌C-账号-0121,CUST-001,客户主体A,漫剧品牌C,210814,670,205.08926,204.97,0.0031781570483933705,0.9728445928638515,0.30610337313432834,0.0,0.0,212.98,1.0384746622031793,212.98,1.0384746622031793,5277,25.730260082853682,0.025031544394584798
2026-07-01,MJ-0220,漫剧品牌G-账号-0220,CUST-001,客户主体A,漫剧品牌G,13864,549,204.25289,204.15,0.039598961338718985,14.732608915175994,0.3720453369763206,0.0,0.0,192.53,0.9426060018049194,192.53,0.9426060018049194,3151,15.426954301601313,0.2272792844777842
2026-07-01,MJ-0211,漫剧品牌G-账号-0211,CUST-001,客户主体A,漫剧品牌G,20297,513,200.07373,200.02,0.025274671133665074,9.85730551313002,0.39000727095516574,0.0,0.0,180.53,0.902317360704976,180.53,0.902317360704976,4627,23.12647442520315,0.2279647238508154
2026-07-01,MJ-0196,漫剧品牌G-账号-0196,CUST-001,客户主体A,漫剧品牌G,15112,716,198.90488,198.81,0.04737956590788777,13.16204870301747,0.27780011173184355,0.0,0.0,202.74,1.019281176007346,202.74,1.019281176007346,3351,16.847248795504665,0.2217443091582848
2026-07-01,MJ-0542,漫剧品牌H-账号-0542,CUST-001,客户主体A,漫剧品牌H,25686,615,197.23361,197.18,0.023943003971034806,7.678642451140699,0.3207050569105691,0.0,0.0,204.8,1.0383625792784505,204.8,1.0383625792784505,5950,30.167272200716702,0.23164369695554
2026-07-01,MJ-0212,漫剧品牌G-账号-0212,CUST-001,客户主体A,漫剧品牌G,19841,385,195.2695,195.22,0.01940426389798901,9.841716647346404,0.5071935064935065,0.0,0.0,185.11,0.9479719054947138,185.11,0.9479719054947138,4780,24.47898929428303,0.2409152764477597
2026-07-01,MJ-0427,漫剧品牌G-账号-0427,CUST-001,客户主体A,漫剧品牌G,22574,1794,195.04553,194.95,0.07947195889075928,8.640273323292284,0.10872103121516166,0.0,0.0,198.88,1.0196593585097797,198.88,1.0196593585097797,6078,31.161954852285,0.2692478072118366
2026-07-01,MJ-0223,漫剧品牌G-账号-0223,CUST-001,客户主体A,漫剧品牌G,17753,577,194.65204,194.57,0.03250154903396609,10.964458964682025,0.3373518890814558,0.0,0.0,178.86,0.918870411016499,178.86,0.918870411016499,4312,22.15234939227968,0.24288852588294937
2026-07-01,MJ-0206,漫剧品牌G-账号-0206,CUST-001,客户主体A,漫剧品牌G,16323,601,194.46896,194.41,0.03681921215462844,11.913800159284445,0.3235756405990017,0.0,0.0,205.59,1.0571867098996157,205.59,1.0571867098996157,3300,16.96928908346093,0.2021687189854806
2026-07-01,MJ-0004,漫剧品牌F-账号-0004,CUST-001,客户主体A,漫剧品牌F,18463,678,194.4601,194.36,0.03672209283431728,10.532421599956672,0.2868143067846608,0.0,0.0,199.66,1.0267401898898538,199.66,1.0267401898898538,5285,27.177811797895814,0.2862481720197151
